Dog_1,Dog_2,Dog_3,Dog_4,Dog_5,Dog_6,Dog_7,Dog_8,Dog_9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3
0.5007333333333334,0.49664268585131893,0.4975151515151515,0.49833333333333335,0.4980798079807981,0.5012501250125012,0.4975151515151515,0.4983333333333333,0.3666666666666667
0.5437666666666666,0.580775379696243,0.4746666666666667,0.5295151515151515,0.9925692569256924,0.9922192219221924,0.0026969696969696,0.0955151515151515,0.3666666666666667
0.5429833333333334,0.8274180655475619,0.4852121212121212,0.527060606060606,0.901890189018902,0.9023702370237024,0.0003030303030303,0.0274848484848484,0.4333333333333333
0.5414833333333333,0.9201438848920863,0.5673939393939393,0.6138181818181818,0.8928592859285929,0.8931893189318932,9.09090909090909e-05,0.0139696969696969,0.2333333333333332
0.5409666666666667,0.9579936051159073,0.5867272727272728,0.6255757575757576,0.874997499749975,0.8726772677267727,0.0,0.009,0.3
0.5389333333333334,0.9760991207034373,0.5952727272727273,0.6483939393939394,0.8519551955195519,0.8518251825182518,0.0,0.006060606060606,0.3333333333333333
0.5397333333333333,0.9849320543565148,0.555030303030303,0.5909090909090909,0.829002900290029,0.8299129912991299,0.0,0.0041818181818181,0.3666666666666667
0.5335,0.9910471622701839,0.5367575757575758,0.5888787878787879,0.8033303330333034,0.8055405540554056,0.0,0.0028181818181818,0.3333333333333333
0.5349166666666667,0.9937250199840127,0.5232727272727272,0.5674545454545454,0.7807580758075807,0.7803580358035803,0.0,0.0025454545454545,0.3666666666666667
0.5328666666666667,0.9967625899280576,0.5442727272727272,0.5932727272727273,0.7524152415241524,0.752035203520352,0.0,0.0017878787878787,0.2333333333333332
0.5336166666666666,0.9980415667466027,0.5533030303030303,0.598030303030303,0.7244524452445245,0.7252725272527253,0.0,0.0016060606060606,0.3333333333333333
0.5330333333333334,0.9983213429256594,0.5721212121212121,0.6186969696969697,0.6925992599259926,0.6931893189318932,0.0,0.0011515151515151,0.2666666666666667
0.52495,0.9986011191047163,0.554,0.5903636363636363,0.6628462846284628,0.664006400640064,0.0,0.0012121212121212,0.4666666666666667
0.5249166666666667,0.999400479616307,0.5377272727272727,0.589030303030303,0.6317031703170317,0.6334233423342335,0.0,0.0009090909090909,0.3333333333333333
0.52125,0.9992805755395684,0.5330303030303031,0.575939393939394,0.6035103510351035,0.6028102810281029,0.0,0.0007575757575757,0.2333333333333332
0.5237166666666667,0.9995603517186251,0.5498484848484848,0.5905454545454546,0.5697069706970697,0.5692769276927693,0.0,0.0006060606060606,0.3333333333333333
0.5193166666666666,0.9998401278976818,0.5613333333333334,0.5923333333333334,0.5385338533853385,0.54005400540054,0.0,0.0006363636363636,0.1999999999999999
0.5201333333333333,0.9997202238209433,0.563060606060606,0.6045454545454545,0.5071407140714072,0.507990799079908,0.0,0.0006060606060606,0.3333333333333333
0.5148,0.9998001598721024,0.5508181818181819,0.5892424242424242,0.4759175917591759,0.473997399739974,0.0,0.0004242424242424,0.2333333333333332
0.51395,0.9998800959232614,0.5397878787878788,0.5878484848484848,0.4454145414541454,0.4458045804580458,0.0,0.0004242424242424,0.2333333333333332
0.5112166666666667,0.9998800959232614,0.5315454545454545,0.579969696969697,0.4136013601360136,0.4134113411341134,0.0,0.0002424242424242,0.3
0.5072333333333333,0.9999600319744205,0.5435151515151515,0.5844242424242424,0.3858485848584858,0.3836283628362836,0.0,0.0003636363636363,0.3
0.50745,1.0,0.5575151515151515,0.587030303030303,0.357995799579958,0.3563656365636564,0.0,0.0002424242424242,0.3
0.5043666666666666,1.0,0.5585151515151515,0.592,0.3312731273127313,0.3288128812881288,0.0,0.0003333333333333,0.3
