Dog_1,Dog_2,Dog_3,Dog_4,Dog_5
1.0,1.0,1.0,1.0,0.30000000000000004
0.5007333333333334,0.49664268585131893,0.4975151515151515,0.49833333333333335,0.3666666666666667
0.5437666666666666,0.580775379696243,0.4746666666666667,0.5295151515151515,0.3666666666666667
0.5429833333333334,0.8274180655475619,0.4852121212121212,0.527060606060606,0.43333333333333335
0.5414833333333333,0.9201438848920863,0.5673939393939393,0.6138181818181818,0.23333333333333328
0.5409666666666667,0.9579936051159073,0.5867272727272728,0.6255757575757576,0.30000000000000004
0.5389333333333334,0.9760991207034373,0.5952727272727273,0.6483939393939394,0.33333333333333337
0.5397333333333333,0.9849320543565148,0.555030303030303,0.5909090909090909,0.3666666666666667
0.5335,0.9910471622701839,0.5367575757575758,0.5888787878787879,0.33333333333333337
0.5349166666666667,0.9937250199840127,0.5232727272727272,0.5674545454545454,0.3666666666666667
0.5328666666666667,0.9967625899280576,0.5442727272727272,0.5932727272727273,0.23333333333333328
0.5336166666666666,0.9980415667466027,0.5533030303030303,0.598030303030303,0.33333333333333337
0.5330333333333334,0.9983213429256594,0.5721212121212121,0.6186969696969697,0.2666666666666667
0.52495,0.9986011191047163,0.554,0.5903636363636363,0.4666666666666667
0.5249166666666667,0.999400479616307,0.5377272727272727,0.589030303030303,0.33333333333333337
0.52125,0.9992805755395684,0.5330303030303031,0.575939393939394,0.23333333333333328
0.5237166666666667,0.9995603517186251,0.5498484848484848,0.5905454545454546,0.33333333333333337
0.5193166666666666,0.9998401278976818,0.5613333333333334,0.5923333333333334,0.19999999999999996
0.5201333333333333,0.9997202238209433,0.563060606060606,0.6045454545454545,0.33333333333333337
0.5148,0.9998001598721024,0.5508181818181819,0.5892424242424242,0.23333333333333328
0.51395,0.9998800959232614,0.5397878787878788,0.5878484848484848,0.23333333333333328
0.5112166666666667,0.9998800959232614,0.5315454545454545,0.579969696969697,0.30000000000000004
0.5072333333333333,0.9999600319744205,0.5435151515151515,0.5844242424242424,0.30000000000000004
0.50745,1.0,0.5575151515151515,0.587030303030303,0.30000000000000004
0.5043666666666666,1.0,0.5585151515151515,0.592,0.30000000000000004
